|      D3344F      |     3       |     7: 0: 0      |   7: 0: 0     |   8:15: 0    |     1        |    7/ 7/2020      |
|      A1234B      |     1       |    12: 0: 0      |  13: 0: 0     |  13:30: 0    |     1        |    7/ 7/2020      |
|       A123B      |     1       |    12: 0: 0      |  13: 0: 0     |  13:30: 0    |     1        |   11/ 7/2020      |
|      A5678B      |     2       |     7: 0: 0      |   7: 0: 0     |   7:45: 0    |     1        |   11/ 7/2020      |
|     B1234DD      |     2       |     7: 0: 0      |   7: 0: 0     |   7:45: 0    |     1        |   11/ 7/2020      |
|      N7663V      |     3       |     7: 8: 0      |   7: 8: 0     |   8:23: 0    |     2        |   11/ 7/2020      |
|      N2334T      |     2       |     7: 0: 0      |   7: 0: 0     |   7:45: 0    |     1        |   11/ 7/2020      |
|     B3498HG      |     3       |     7:12: 0      |   7:12: 0     |   8:27: 0    |     2        |   11/ 7/2020      |
|     BG4343G      |     2       |     7: 0: 0      |   7: 0: 0     |   7:45: 0    |     1        |   11/ 7/2020      |
|     Z2344BB      |     1       |     7:12:33      |   7:12:33     |   7:42:33    |     2        |   11/ 7/2020      |
|      NN123G      |     2       |     7: 0: 0      |   7: 0: 0     |   7:45: 0    |     1        |   11/ 7/2020      |
|     NN1234B      |     3       |     7: 0: 0      |   7: 0: 0     |   8:15: 0    |     1        |   11/ 7/2020      |
|      B1234A      |     3       |     7: 0: 0      |   7: 0: 0     |   8:15: 0    |     1        |   11/ 7/2020      |
|       F346H      |     2       |     7:10: 0      |   7:10: 0     |   7:55: 0    |     2        |   11/ 7/2020      |
